pos,role,table,split,row_id,node_idx,column,sem_type,value_seen_by_model,row_timestamp,f2p_edges,is_target,is_mask
0,FEAT,driver-dnf,Train,0,98308,date of driver-dnf,datetime,2004-08-04,2004-08-04,drivers:Db#20,False,False
1,TARGET+COL+FEAT,driver-dnf,Train,0,98308,did_not_finish of driver-dnf,boolean,[MASK:boolean] label=1,2004-08-04,drivers:Db#20,True,True
2,FEAT,drivers,Db,20,25649,driverRef of drivers,text,fisichella,,,False,False
3,FEAT,drivers,Db,20,25649,code of drivers,text,FIS,,,False,False
4,FEAT,drivers,Db,20,25649,forename of drivers,text,Giancarlo,,,False,False
5,FEAT,drivers,Db,20,25649,surname of drivers,text,Fisichella,,,False,False
6,FEAT,drivers,Db,20,25649,dob of drivers,datetime,datetime_z=-0.83203,,,False,False
7,FEAT,drivers,Db,20,25649,nationality of drivers,text,Italian,,,False,False
8,DRIVER_NBR_INDIRECT,results,Db,15909,53311,number of results,number,number_z=-0.38672,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
9,DRIVER_NBR_INDIRECT,results,Db,15909,53311,grid of results,number,number_z=0.39258,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
10,DRIVER_NBR_INDIRECT,results,Db,15909,53311,position of results,number,number_z=-0.82422,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
11,DRIVER_NBR_INDIRECT,results,Db,15909,53311,positionOrder of results,number,number_z=-1.1484,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
12,DRIVER_NBR_INDIRECT,results,Db,15909,53311,points of results,number,number_z=0.25977,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
13,DRIVER_NBR_INDIRECT,results,Db,15909,53311,laps of results,number,number_z=0.83984,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
14,DRIVER_NBR_INDIRECT,results,Db,15909,53311,milliseconds of results,number,number_z=-0.57031,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
15,DRIVER_NBR_INDIRECT,results,Db,15909,53311,statusId of results,number,number_z=-0.62891,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
16,DRIVER_NBR_INDIRECT,results,Db,15909,53311,date of results,datetime,1997-09-21,1997-09-21,races:Db#610; drivers:Db#20; constructors:Db#16,False,False
17,FULL_ONLY,constructors,Db,16,25434,constructorRef of constructors,text,jordan,,,False,False
18,FULL_ONLY,constructors,Db,16,25434,name of constructors,text,Jordan,,,False,False
19,FULL_ONLY,constructors,Db,16,25434,nationality of constructors,text,Irish,,,False,False
20,FULL_ONLY,races,Db,610,36911,year of races,number,number_z=0.24512,1997-09-21,circuits:Db#69,False,False
21,FULL_ONLY,races,Db,610,36911,round of races,number,number_z=1.0859,1997-09-21,circuits:Db#69,False,False
22,FULL_ONLY,races,Db,610,36911,name of races,text,Austrian Grand Prix,1997-09-21,circuits:Db#69,False,False
23,FULL_ONLY,races,Db,610,36911,date of races,datetime,1997-09-21,1997-09-21,circuits:Db#69,False,False
24,FULL_ONLY,races,Db,610,36911,time of races,text,00:00:00,1997-09-21,circuits:Db#69,False,False
25,FULL_ONLY,circuits,Db,69,69,circuitRef of circuits,text,red_bull_ring,,,False,False
26,FULL_ONLY,circuits,Db,69,69,name of circuits,text,Red Bull Ring,,,False,False
27,FULL_ONLY,circuits,Db,69,69,location of circuits,text,Spielberg,,,False,False
28,FULL_ONLY,circuits,Db,69,69,country of circuits,text,Austria,,,False,False
29,FULL_ONLY,circuits,Db,69,69,lat of circuits,number,number_z=0.60547,,,False,False
30,FULL_ONLY,circuits,Db,69,69,lng of circuits,number,number_z=0.20898,,,False,False
31,FULL_ONLY,circuits,Db,69,69,alt of circuits,number,number_z=1.1797,,,False,False
32,DRIVER_NBR_INDIRECT,driver-dnf,Train,10008,108316,date of driver-dnf,datetime,1999-08-31,1999-08-31,drivers:Db#20,False,False
33,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,10008,108316,did_not_finish of driver-dnf,boolean,1,1999-08-31,drivers:Db#20,False,False
34,DRIVER_NBR_INDIRECT,qualifying,Db,1493,27979,number of qualifying,number,number_z=-0.62109,2001-09-29,races:Db#678; drivers:Db#20; constructors:Db#21,False,False
35,DRIVER_NBR_INDIRECT,qualifying,Db,1493,27979,position of qualifying,number,number_z=0.12012,2001-09-29,races:Db#678; drivers:Db#20; constructors:Db#21,False,False
36,DRIVER_NBR_INDIRECT,qualifying,Db,1493,27979,date of qualifying,datetime,2001-09-29,2001-09-29,races:Db#678; drivers:Db#20; constructors:Db#21,False,False
37,FULL_ONLY,constructors,Db,21,25439,constructorRef of constructors,text,benetton,,,False,False
